Station,Inc,Cost,Constraint_original
7TH STANDARD,16891,940000000,Midway-Q2005 230kV Line
ALAMITOS,800,28000000,Hinson - Del Amo Constraint
ALBERHILL,3350,89000000,Etiwanda-Rancho Vista Constraint
ALPAUGH,16891,940000000,Midway-Q2005 230kV Line
ALPINE,431,671054000,Miguel 69 kV constraint
ALTAMONT,6034,417332000,Windmaster-Delta pumps 230 kV line
ANTELOPE,2000,100000000,Antelope-Neenach Constraint
ARCO (PGE),16891,940000000,Midway-Q2005 230kV Line
ARCOGEN,800,28000000,Hinson - Del Amo Constraint
ARTESIAN (SDGE),936,259594519.8,Internal San Diego Area constraint
ASHLAN AVE,0,0,Moss Landing-Las Aguilas 230 kV Line
ATLANTIC,574,0,Rio Oso-Brighton 230kV line
AVENA,1255,1700000000,Kasson Jct-Heinz 115 kV line
AVOCADO,936,259594519.8,Internal San Diego Area constraint
BAHIA,1766,700000000,Birds Landing-Contra Costa 230kV Line
BAILEY,2000,100000000,Antelope-Neenach Constraint
BAKERSFIELD,16891,940000000,Midway-Q2005 230kV Line
BALCH,0,0,Moss Landing-Las Aguilas 230 kV Line
BARRE,0,0,SCE Metro Area Default Constraint
BOULEVARD,4754,29971000,Silvergate - Bay Blvd 230 kV constraint
BEATTTY,1367,379130030.5,VEA 138kV area constraint
BELDEN,707,125000000,Rocklin-Pleaseant grove 115kV line
BELLVUE,861,0,Lakeville-Ignacio 230 kV line
BELLOTA,2019,0,Panoche- Mendota 115 kV line
BIG CREEK 1,2000,4358000000,South of Magunden Constraint
BIRDS LANDING,1766,700000000,Birds Landing-Contra Costa 230kV Line
BLYTHE,2823,782943728,East of Miguel constraint
BOGUE,109,9329000,Woodland- Davis 115kV line
BORDEN,0,0,Moss Landing-Las Aguilas 230 kV Line
BRENT,6034,417332000,Windmaster-Delta pumps 230 kV line
BRIGHTON,8645,2851848000,Vaca Dixon-Tesla 500kV Line
BRUNSWICK,480,185000000,Bell-Placer 115kV Line
BUENA VISTA,16891,940000000,Midway-Q2005 230kV Line
CABRILLO (PGE),784,150000000,Midway 230/115kV TB #3
CAL FLATS,16891,940000000,Midway-Q2005 230kV Line
CAL WATER,637,760000000,Semitropic-Midway 115kV Line
CALCITE,1046,239000000,Calcite to Lugo Area Constraint
CALIENTE,16891,940000000,Midway-Q2005 230kV Line
CALLENDER,16891,940000000,Midway-Q2005 230kV Line
CALPELLA,50,50000000,Cortina-Eagle Rock 115 kV line
CAMANCHE,3192,330000000,Oro Loma-El Nido 115kV Line
CANTUA,0,0,Moss Landing-Las Aguilas 230 kV Line
CAPISTRANO,556,103366000,Trabuco-Capistrano 138 kV constraint
CARBERRY,8645,2851848000,Vaca Dixon-Tesla 500kV Line
CARIBOU,707,125000000,Rocklin-Pleaseant grove 115kV line
CARRIZO PLAINS,784,150000000,Midway 230/115kV TB #3
CASTRO VALLEY,6034,417332000,Windmaster-Delta pumps 230 kV line
CAYETANO,6034,417332000,Windmaster-Delta pumps 230 kV line
CENTER,1058,11000000,Del Amo - Barre Area Constraint
CHARCA,637,760000000,Semitropic-Midway 115kV Line
CHARLESTON PARK,1285,356387775.6,GLW 230kV area constraint
CHEVMAIN,800,28000000,Hinson - Del Amo Constraint
CHICARITA,936,259594519.8,Internal San Diego Area constraint
CHINO,0,0,SCE Metro Area Default Constraint
CHOWCHILLA,16891,940000000,Midway-Q2005 230kV Line
CHRISTIE,6034,417332000,Windmaster-Delta pumps 230 kV line
CIELO AZUL,3000,463000000,DCRT Constraint
CLOVERDALE,1766,700000000,Birds Landing-Contra Costa 230kV Line
COBURN,0,0,Moss Landing-Las Aguilas 230 kV Line
COLGATE,707,125000000,Rocklin-Pleaseant grove 115kV line
COLLINSVILLE,16891,940000000,Midway-Q2005 230kV Line
COLORADO RIVER,5000,1386722862,Devers-Red Bluff Constraint
COLUMBUS,637,760000000,Semitropic-Midway 115kV Line
CONTRA COSTA POWER,6034,417332000,Windmaster-Delta pumps 230 kV line
CONTROL,186,329000000,Control to Inyokern area constraint
COOL WATER,1206,334477554.3,Kramer to Victor Area Constraint
CORCORAN,0,0,Moss Landing-Las Aguilas 230 kV Line
CORONA (PGE),861,0,Lakeville-Ignacio 230 kV line
CORTINA,1766,700000000,Birds Landing-Contra Costa 230kV Line
COTTLE,2019,0,Panoche- Mendota 115 kV line
COTTONWOOD,26,180000000,Carberry-Round Mountain 230kV Line
COYOTE,300,0,Tesla-Bellota 230 kV line
CREELMAN,431,671054000,Miguel 69 kV constraint
CROW CREEK SW STA,74,400000000,Salado-Crow Creek Sw Sta 60 kV line
CURTIS,1255,1700000000,Kasson Jct-Heinz 115 kV line
DAIRYLAND,358,125000000,Merced 115/70kV TB#2
DAVIS (PGE),109,9329000,Woodland- Davis 115kV line
DEL AMO,800,28000000,Hinson - Del Amo Constraint
DELANEY,3000,463000000,DCRT Constraint
DELEVAN,1766,700000000,Birds Landing-Contra Costa 230kV Line
DELTA PUMPS,6034,417332000,Windmaster-Delta pumps 230 kV line
DESERT VIEW,1285,356387775.6,GLW 230kV area constraint
DEVERS,3350,89000000,Etiwanda-Rancho Vista Constraint
DIABLO CANYON,4125,830000000,Diablo–Gates 500 kV line
DIXON LANDING,300,0,Tesla-Bellota 230 kV line
DONNELLS-CURTIS,1255,1700000000,Kasson Jct-Heinz 115 kV line
DOS AMIGOS,0,0,Moss Landing-Las Aguilas 230 kV Line
DRUM,480,185000000,Bell-Placer 115kV Line
DUMBARTON,978,271242991.8,Dumbarton-Newark 115 kV line
EAGLE MT,600,1182000000,Eagle Mountain Constraint
EAGLE ROCK (PGE),1766,700000000,Birds Landing-Contra Costa 230kV Line
EAST NICOLAUS,109,9329000,Woodland- Davis 115kV line
EASTSHORE,548,0,Eastshore-San Mateo 230 kV line
EAST COUNTY,2823,782943728,East of Miguel constraint
EDES,290,125000000,Grant - Eastshore #2 line 115 kV
EIGHT MILE,574,0,Rio Oso-Brighton 230kV line
EL CAJON,431,671054000,Miguel 69 kV constraint
EL CASCO,3350,89000000,Etiwanda-Rancho Vista Constraint
EL NIDO (SCE),800,28000000,Hinson - Del Amo Constraint
EL PATIO,712,380000000,Morganhill-Metcalf 115kV Line
EL SEGUNDO,800,28000000,Hinson - Del Amo Constraint
ELDORADO,5000,1386722862,Devers-Red Bluff Constraint
ELK HILLS,16891,940000000,Midway-Q2005 230kV Line
ELLIOTT,936,259594519.8,Internal San Diego Area constraint
ELLIS (SCE),0,0,SCE Metro Area Default Constraint
ENCINA,746,206899051,Encina - San Luis Rey 230 kV constraint
ESCONDIDO,936,259594519.8,Internal San Diego Area constraint
ETIWANDA,3350,89000000,Etiwanda-Rancho Vista Constraint
EVERGREEN (PGE),712,380000000,Morganhill-Metcalf 115kV Line
EXCELSIOR,0,0,Moss Landing-Las Aguilas 230 kV Line
