NAME,ZIP,LATITUDE,LONGITUDE
DAVIS CREEK,96108,41.73313872,-120.3668468
COPCO,96064,41.61672281,-122.3993773
FALL CREEK POWERHOUSE,96044,41.985419,-122.3602971
COPCO 2 230KV,96044,41.97685546,-122.3613884
UNKNOWN202614,96134,41.92529295,-121.5664171
UNKNOWN202617,96134,41.95344484,-121.471402
UNKNOWN202645,96134,41.88812307,-121.3783648
UNKNOWN202983,95548,41.54337175,-124.0504528
UNKNOWN203290,95567,41.92519382,-124.1392953
UNKNOWN203291,95531,41.85177143,-124.147972
DEL NORTE,95531,41.86766829,-124.1391128
UNKNOWN203293,95543,41.84821027,-123.9667768
TAP203294,95543,41.84830234,-123.9667531
UNKNOWN203295,95531,41.7608203,-124.1634562
UNKNOWN203296,95531,41.77303656,-124.2078963
TAP203297,95531,41.77287734,-124.2078924
UNKNOWN203298,95531,41.76606448,-124.1991453
TAP203299,95531,41.76618911,-124.19847
TAP203300,95531,41.75809852,-124.1631654
UNKNOWN203301,NOT AVAILABLE,41.73290504,-124.0974479
TAP203302,95531,41.84986058,-124.1403341
UNKNOWN203303,95567,41.88545136,-124.1406322
TAP203304,95531,41.86934335,-124.1425336
UNKNOWN203306,NOT AVAILABLE,41.88142695,-123.8646288
TAP203308,96039,41.8558771,-123.3915265
UNKNOWN203309,96039,41.80358964,-123.3725366
UNKNOWN203310,96086,41.84055583,-123.1920767
TAP203311,96086,41.8403879,-123.1922272
TAP203312,96085,41.78036643,-123.0711726
STEELHEAD,96085,41.78024015,-123.0711963
UNKNOWN203314,96085,41.77445175,-123.0350743
UNKNOWN203315,96085,41.74229404,-122.9995709
TAP203316,96032,41.67783568,-122.8470874
UNKNOWN203317,96032,41.60541717,-122.850066
YREKA,96097,41.728506,-122.630852
UNKNOWN203319,96097,41.71129781,-122.649017
TAP203320,96032,41.60714393,-122.8512847
UNKNOWN203321,96027,41.4930935,-122.9056556
UNKNOWN203322,96014,41.37289844,-122.8329877
TAP203323,96064,41.70607228,-122.5389251
TAP203324,96044,41.86767967,-122.4641977
AGER,96044,41.86750598,-122.4641525
UNKNOWN203326,96064,41.72692506,-122.5363534
TAP203327,96064,41.72672816,-122.5362321
UNKNOWN203328,96064,41.71158788,-122.3601839
TAP203329,96038,41.60367129,-122.522576
UNKNOWN203330,96038,41.60382963,-122.5226427
UNKNOWN203331,96094,41.43138294,-122.3897693
WEED JUNCTION,96094,41.45174918,-122.3622149
UNKNOWN203333,96064,41.54865554,-122.3642144
TAP203334,96064,41.54864696,-122.3650974
TAP203335,96064,41.6195947,-122.3643961
HART,96064,41.70173478,-122.3696471
COPCO 2 115KV,96044,41.97493129,-122.3586634
UNKNOWN203338,96044,41.89797441,-122.540009
COPCO 1,96044,41.97983591,-122.3359629
TAP203340,96023,41.96648049,-121.995965
UNKNOWN203343,96058,41.83180979,-122.0047486
DORRIS,96023,41.96679663,-121.9136322
TAP203353,96134,41.95365732,-121.5662976
TAP203354,96134,41.95082631,-121.4062943
TAP203364,96108,41.73347771,-120.3750461
UNKNOWN205355,96057,41.26632003,-122.1260865
UNKNOWN205356,96025,41.26806701,-122.2389547
UNKNOWN205357,96067,41.26269258,-122.2705119
TAP205358,96067,41.26266372,-122.2706273
UNKNOWN205359,96025,41.22069953,-122.2764016
TAP205360,96025,41.2019244,-122.2814083
UNKNOWN205361,96025,41.20125945,-122.2764251
CRAG VIEW,96025,41.18490688,-122.2859719
TAP205363,96067,41.29407111,-122.3126268
UNKNOWN205364,96067,41.28039631,-122.3283412
MOTT SWITCH STATION,96067,41.30472015,-122.3218651
UNKNOWN205366,96094,41.43253165,-122.3828589
UNKNOWN205367,96094,41.43204624,-122.3832658
TAP205368,96094,41.43226753,-122.3836512
TAP205369,96094,41.43174643,-122.3890264
BIG LAGOON,95570,41.16268611,-124.1020015
CORTINA,95987,39.12057489,-122.2234251
RUSH CREEK,93529,37.76705695,-119.1233468
TABLE MT.,95965,39.55512789,-121.6447972
NOLA,90248,33.85950627,-118.2762803
MAMMOTH,93643,37.22041101,-119.3379483
VIEJO,92610,33.66696868,-117.6424318
RISER300022,92886,33.888207,-117.831682
PARDEE,95640,38.25690742,-120.8506149
COYOTE CREEK,90631,33.92505963,-117.955167
CLAY,95640,38.34213511,-120.9350243
UNKNOWN300042,90280,33.937523,-118.168899
RIO BRAVO ROCKLIN,95648,38.83183492,-121.314426
UNKNOWN300045,90201,33.96645002,-118.1944345
LARKIN,94109,37.78364298,-122.4170438
RISER300048,90045,33.954749,-118.413693
RISER300049,93230,36.30840282,-119.6188913
PINE FLAT,93657,36.8326173,-119.3270134
CARLTON HILLS,92071,32.85492077,-117.0119855
CARBERRY,96013,40.85918576,-121.7528676
RISER300066,92630,33.61412959,-117.7000783
RISER300067,91505,34.184799,-118.343898
KERN RIVER 3,93238,35.7761741,-118.4362533
GREAT LAKES,93560,34.83732606,-118.155454
CORDOVA-FOLSOM,95670,38.60378491,-121.2858402
POST,95691,38.56751561,-121.568861
UNKNOWN300083,95640,38.37375902,-120.9505973
ATLANTIC,95678,38.76349077,-121.263943
UNKNOWN300089,93308,35.37707815,-119.0772915
CHALLENGE,95925,39.4852951,-121.2203181
GRONMEYER,95330,37.83084577,-121.2636781
UNKNOWN300098,93251,35.41286436,-119.6420132
COTATI,94931,38.30959968,-122.7315707
BUTANO,95825,38.60475262,-121.3860502
WALNUT,91745,34.00812595,-117.9498067
POCKET,95822,38.48952827,-121.4700844
SANDBAR,95335,38.18610688,-120.1499827
UNKNOWN300111,93501,35.02294747,-118.2821934
SPRING CREEK,96001,40.62750915,-122.4685328
COOLEY LANDING,94303,37.47372058,-122.12805
REDDING POWER,96001,40.51003389,-122.4247269
BRIONES,94517,37.88527734,-121.8145225
UNKNOWN300122,96007,40.43275695,-122.2690382
UNKNOWN300123,93234,36.37767166,-120.1384901
UNKNOWN300124,92314,34.26865247,-116.8148678
CALIENTE,93453,35.37899068,-119.9170477
KAWEAH 1,93271,36.46508185,-118.86201
TALEGA,92672,33.453118,-117.571533
CORDOVA PARK,95670,38.60496378,-121.3066012
LOUISE,95330,37.80843952,-121.2880796
PIT 7,96065,40.84668048,-121.9910965
