Name,Availability
7th STANDARD 115 kV,"-1,010.89"
ADOBE SW STA 115 kV,58.01
AIRWAYS 115 kV,-719.03
ALAMITOS 230 kV,640.71
ALBERHILL 500 kV,674.2
ALHAMBRA 115 kV,"-2,120.78"
ALMADEN 60 kV,30.89
ALPAUGH 115 kV,-981.16
ALPINE 69 kV,"-3,550"
ALTO 60 kV,"-6,109.92"
AMES 115 kV,323.51
AMES DISTRIBUTION 115 kV,235.73
ANTELOPE 230 kV,775.51
ANTELOPE 500 kV,586.02
ANTELOPE 66 kV,799.87
APPLE HILL 115 kV,"-16,951.57"
APPLIED MATERIALS SW STA 115 kV,87.01
ARCATA 60 kV,"-5,353.22"
ARCO 230 kV,-223.71
ARCO 70 kV,-223.71
ARTESIAN RANCH 230 kV,-195.58
ARTESIAN RANCH 69 kV,-208.67
ASH 69 kV,-215.88
ASHLAN AVE 230 kV,-325.22
ATASCADERO 70 kV,-329.76
ATLANTIC 115 kV,"-12,559.62"
ATLANTIC 230 kV,"-13,018.23"
ATLANTIC 60 kV,"-13,018.23"
ATWATER 115 kV,-463.89
AVOCADO 69 kV,5.71
BAHIA 230 kV,"-4,230.25"
BAILEY 230 kV,-39.62
BAILEY 66 kV,-41.34
BAIR 115 kV,-367.45
BAIR 60 kV,-368.29
BAKERSFIELD 230 kV,"-1,000.30"
BARRE 230 kV,"2,694.69"
BARRETT 69 kV,"-3,865.10"
BARTON 115 kV,-727.38
BASILONE 69 kV,47.87
BATIQUITOS 138 kV,-138.83
BAY MEADOWS 115 kV,-303.34
BEATTY 138 kV,"-1,020.72"
BELDEN PH 230 kV,"-9,799.52"
BELL 115 kV,"-14,258.24"
BELLEVUE 115 kV,"-5,033.09"
BELLOTA 115 kV,235.3
BELLOTA 230 kV,888.61
BELMONT 115 kV,-341.54
BENTON 60 kV,"-5,341.21"
BERNARDO 69 kV,-210.29
BIG CREEK 1 230 kV,-50.44
BIG CREEK 2 230 kV,-50.44
BIG CREEK 3 230 kV,-50.44
BIG CREEK 4 230 kV,-50.44
BIG CREEK 8 230 kV,-50.44
BIOLA 70 kV,-387.73
BIRDS LANDING SW STA 230 kV,"-4,603.46"
BLYTHE 161 kV,92.43
BOGUE 115 kV,"-6,772.98"
BOLINAS 60 kV,"-6,109.92"
BORDEN 230 kV,-338.17
BORDEN 70 kV,-338.17
BORDER 69 kV,"-1,814.39"
BORREGO 69 kV,-252.47
BOULEVARD EAST 138 kV,"-2,839.73"
BOULEVARD EAST 69 kV,"-2,839.73"
