IDX,Station,Inc,Cost,Constraint_original,Availability,LATITUDE,LONGITUDE
0,7TH STANDARD,16891,940000000,Midway-Q2005 230kV Line,0,35.439607,-119.130998
1,ALPAUGH,16891,940000000,Midway-Q2005 230kV Line,0,35.96334744,-119.4568173
2,ALPINE,431,671054000,Miguel 69 kV constraint,0,32.82773375,-116.7899086
3,ARCO (PGE),16891,940000000,Midway-Q2005 230kV Line,0,35.77560246,-119.9134763
4,ASHLAN AVE,0,0,Moss Landing-Las Aguilas 230 kV Line,0,36.79278344,-119.8280253
5,ATLANTIC,574,0,Rio Oso-Brighton 230kV line,0,38.76349077,-121.263943
6,BAHIA,1766,700000000,Birds Landing-Contra Costa 230kV Line,0,38.08092514,-122.1373611
7,BAILEY,2000,100000000,Antelope-Neenach Constraint,0,34.77647374,-118.7744353
8,BAKERSFIELD,16891,940000000,Midway-Q2005 230kV Line,0,35.38749714,-119.0044816
9,BEATTTY,1367,379130030.5,VEA 138kV area constraint,0,36.544365,-116.463194
10,BELDEN,707,125000000,Rocklin-Pleaseant grove 115kV line,0,40.0074534,-121.2507257
11,BOGUE,109,9329000,Woodland- Davis 115kV line,0,39.09590648,-121.6239738
12,BORDEN,0,0,Moss Landing-Las Aguilas 230 kV Line,0,36.92214939,-119.9845031
13,BRENT,6034,417332000,Windmaster-Delta pumps 230 kV line,0,37.91901726,-121.6767877
14,BRIGHTON,8645,2851848000,Vaca Dixon-Tesla 500kV Line,0,38.54821672,-121.4078353
15,CABRILLO (PGE),784,150000000,Midway 230/115kV TB #3,0,32.7074726,-117.245084
16,CAL FLATS,16891,940000000,Midway-Q2005 230kV Line,0,35.864002,-120.310925
17,CALIENTE,16891,940000000,Midway-Q2005 230kV Line,0,35.37899068,-119.9170477
18,CALLENDER,16891,940000000,Midway-Q2005 230kV Line,0,35.04694458,-120.5861898
19,CARBERRY,8645,2851848000,Vaca Dixon-Tesla 500kV Line,0,40.85918576,-121.7528676
20,CASTRO VALLEY,6034,417332000,Windmaster-Delta pumps 230 kV line,0,37.69140915,-122.0611906
21,CAYETANO,6034,417332000,Windmaster-Delta pumps 230 kV line,0,37.73861432,-121.7710098
22,CHARCA,637,760000000,Semitropic-Midway 115kV Line,0,35.60823658,-119.3252
23,CHARLESTON PARK,1285,356387775.6,GLW 230kV area constraint,0,36.197622,-116.105
24,CHICARITA,936,259594519.8,Internal San Diego Area constraint,0,32.958287,-117.108885
25,CHOWCHILLA,16891,940000000,Midway-Q2005 230kV Line,0,37.12070819,-120.250748
26,CHRISTIE,6034,417332000,Windmaster-Delta pumps 230 kV line,0,38.00283333,-122.208258
27,CLOVERDALE,1766,700000000,Birds Landing-Contra Costa 230kV Line,0,38.79712201,-123.0102504
28,COBURN,0,0,Moss Landing-Las Aguilas 230 kV Line,0,36.26523967,-121.1458637
29,COLORADO RIVER,5000,1386722862,Devers-Red Bluff Constraint,0,33.58089849,-114.8171807
30,CONTRA COSTA POWER,6034,417332000,Windmaster-Delta pumps 230 kV line,0,38.01525795,-121.7622225
31,CONTROL,186,329000000,Control to Inyokern area constraint,0,37.33594572,-118.4811481
32,COOL WATER,1206,334477554.3,Kramer to Victor Area Constraint,0,34.86319776,-116.8541777
33,CORCORAN,0,0,Moss Landing-Las Aguilas 230 kV Line,0,36.10943983,-119.5571964
34,CORONA (PGE),861,0,Lakeville-Ignacio 230 kV line,0,38.26506019,-122.657312
35,CORTINA,1766,700000000,Birds Landing-Contra Costa 230kV Line,0,39.12057489,-122.2234251
36,COTTLE,2019,0,Panoche- Mendota 115 kV line,0,37.77265525,-120.8263678
37,CREELMAN,431,671054000,Miguel 69 kV constraint,0,33.01805902,-116.8530307
38,DAIRYLAND,358,125000000,Merced 115/70kV TB#2,0,37.05489655,-120.3167696
39,DAVIS (PGE),109,9329000,Woodland- Davis 115kV line,0,38.54519129,-121.7341065
40,DELEVAN,1766,700000000,Birds Landing-Contra Costa 230kV Line,0,39.36840805,-122.2693177
41,DESERT VIEW,1285,356387775.6,GLW 230kV area constraint,0,36.304525,-115.533555
42,DIABLO CANYON,4125,830000000,Diablo–Gates 500 kV line,0,35.2163749,-120.8472688
43,DRUM,480,185000000,Bell-Placer 115kV Line,0,39.25675761,-120.7667838
44,DUMBARTON,978,271242991.8,Dumbarton-Newark 115 kV line,0,37.55706823,-122.057873
45,EAGLE ROCK (PGE),1766,700000000,Birds Landing-Contra Costa 230kV Line,0,38.82897905,-122.8100864
46,EAST NICOLAUS,109,9329000,Woodland- Davis 115kV line,0,38.90973397,-121.5424835
47,EASTSHORE,548,0,Eastshore-San Mateo 230 kV line,0,37.62511419,-122.1165693
48,EAST COUNTY,2823,782943728,East of Miguel constraint,0,32.6272724,-116.1178761
49,EDES,290,125000000,Grant - Eastshore #2 line 115 kV,0,37.73868387,-122.1938003
50,EL CAJON,431,671054000,Miguel 69 kV constraint,0,32.79525278,-116.9727194
51,ELLIOTT,936,259594519.8,Internal San Diego Area constraint,0,32.8158917,-117.0884865
52,ENCINA,746,206899051,Encina - San Luis Rey 230 kV constraint,0,33.13723028,-117.3354712
53,ESCONDIDO,936,259594519.8,Internal San Diego Area constraint,0,33.125878,-117.1166659
54,EXCELSIOR,0,0,Moss Landing-Las Aguilas 230 kV Line,0,36.427716,-120.386337
55,EXCHEQUER,0,0,Moss Landing-Las Aguilas 230 kV Line,0,37.58422176,-120.2725809
56,FAMOSO,637,760000000,Semitropic-Midway 115kV Line,0,35.60510349,-119.2035329
57,FIG GARDEN,0,0,Moss Landing-Las Aguilas 230 kV Line,0,36.82182409,-119.8587935
58,FULTON (PGE),1766,700000000,Birds Landing-Contra Costa 230kV Line,0,38.49766912,-122.7606937
59,GAMEBIRD,1285,356387775.6,GLW 230kV area constraint,0,36.005575,-115.60564
60,GATES,16891,940000000,Midway-Q2005 230kV Line,0,36.14232775,-120.1287522
61,GEYSERS 3,1766,700000000,Birds Landing-Contra Costa 230kV Line,0,38.80570019,-122.8149473
62,GLENN (PGE),1766,700000000,Birds Landing-Contra Costa 230kV Line,0,39.77781273,-122.1427555
63,GOLD HILL,707,125000000,Rocklin-Pleaseant grove 115kV line,0,38.65755743,-121.1368329
64,GOLETA,2000,4358000000,South of Magunden Constraint,0,34.46920287,-119.8844193
65,GRANT,6034,417332000,Windmaster-Delta pumps 230 kV line,0,37.6714782,-122.1596296
66,GREGG,0,0,Moss Landing-Las Aguilas 230 kV Line,0,36.85330295,-119.9170035
67,GRIMMWAY-MALAGA,637,760000000,Semitropic-Midway 115kV Line,0,35.24731208,-118.8609024
68,GWF 2,0,0,Moss Landing-Las Aguilas 230 kV Line,0,38.01604449,-121.8607166
69,HELM,0,0,Moss Landing-Las Aguilas 230 kV Line,0,36.59162546,-120.176288
70,HENRIETTA,0,0,Moss Landing-Las Aguilas 230 kV Line,0,36.24213087,-119.9028224
71,HERNDON,0,0,Moss Landing-Las Aguilas 230 kV Line,0,36.84478476,-119.9221845
72,HIGGINS,574,0,Rio Oso-Brighton 230kV line,0,39.04389408,-121.0907025
73,HOPLAND,50,50000000,Cortina-Eagle Rock 115 kV line,0,38.97281703,-123.0811094
74,IGNACIO,50,50000000,Cortina-Eagle Rock 115 kV line,0,38.07742858,-122.5409276
75,IMPERIAL VALLEY,2823,782943728,East of Miguel constraint,0,32.71761928,-115.7155325
76,INNOVATION,1285,356387775.6,GLW 230kV area constraint,0,36.58936,-116.107721
