IDX,Station,Inc,Cost,Constraint_original,Availability,LATITUDE,LONGITUDE,station_increment,capacity_additions,projects_built
0,7TH STANDARD,16891,9.4e8,Midway-Q2005 230kV Line,0.0,35.439607,-119.130998,-0.0,0.0,
1,ALPAUGH,16891,9.4e8,Midway-Q2005 230kV Line,0.0,35.96334744,-119.4568173,40.0,40.0,Solar: Angela Solar Project
2,ALPINE,431,6.71054e8,Miguel 69 kV constraint,0.0,32.82773375,-116.7899086,0.0,0.0,
3,ARCO (PGE),16891,9.4e8,Midway-Q2005 230kV Line,0.0,35.77560246,-119.9134763,504.9,504.9,Solar: Chalan; Solar: Pelicans Jaw Hybrid Solar
4,ASHLAN AVE,0,0.0,Moss Landing-Las Aguilas 230 kV Line,0.0,36.79278344,-119.8280253,0.0,0.0,
5,ATLANTIC,574,0.0,Rio Oso-Brighton 230kV line,0.0,38.76349077,-121.263943,0.0,0.0,
6,BAHIA,1766,7.0e8,Birds Landing-Contra Costa 230kV Line,0.0,38.08092514,-122.1373611,0.0,0.0,
7,BAILEY,2000,1.0e8,Antelope-Neenach Constraint,0.0,34.77647374,-118.7744353,0.0,0.0,
8,BAKERSFIELD,16891,9.4e8,Midway-Q2005 230kV Line,0.0,35.38749714,-119.0044816,15412.8,0.0,
9,BEATTTY,1367,3.791300305e8,VEA 138kV area constraint,0.0,36.544365,-116.463194,0.0,0.0,
10,BELDEN,707,1.25e8,Rocklin-Pleaseant grove 115kV line,0.0,40.0074534,-121.2507257,0.0,0.0,
11,BOGUE,109,9.329e6,Woodland- Davis 115kV line,0.0,39.09590648,-121.6239738,0.0,0.0,
12,BORDEN,0,0.0,Moss Landing-Las Aguilas 230 kV Line,0.0,36.92214939,-119.9845031,0.0,0.0,
13,BRENT,6034,4.17332e8,Windmaster-Delta pumps 230 kV line,0.0,37.91901726,-121.6767877,0.0,0.0,
14,BRIGHTON,8645,2.851848e9,Vaca Dixon-Tesla 500kV Line,0.0,38.54821672,-121.4078353,0.0,0.0,
15,CABRILLO (PGE),784,1.5e8,Midway 230/115kV TB #3,0.0,32.7074726,-117.245084,0.0,0.0,
16,CAL FLATS,16891,9.4e8,Midway-Q2005 230kV Line,0.0,35.864002,-120.310925,0.0,0.0,
17,CALIENTE,16891,9.4e8,Midway-Q2005 230kV Line,0.0,35.37899068,-119.9170477,0.0,0.0,
18,CALLENDER,16891,9.4e8,Midway-Q2005 230kV Line,0.0,35.04694458,-120.5861898,0.0,0.0,
19,CARBERRY,8645,2.851848e9,Vaca Dixon-Tesla 500kV Line,0.0,40.85918576,-121.7528676,0.0,0.0,
20,CASTRO VALLEY,6034,4.17332e8,Windmaster-Delta pumps 230 kV line,0.0,37.69140915,-122.0611906,0.0,0.0,
21,CAYETANO,6034,4.17332e8,Windmaster-Delta pumps 230 kV line,0.0,37.73861432,-121.7710098,0.0,0.0,
22,CHARCA,637,7.6e8,Semitropic-Midway 115kV Line,0.0,35.60823658,-119.3252,0.0,0.0,
23,CHARLESTON PARK,1285,3.563877756e8,GLW 230kV area constraint,0.0,36.197622,-116.105,0.0,0.0,
24,CHICARITA,936,2.595945198e8,Internal San Diego Area constraint,0.0,32.958287,-117.108885,0.0,0.0,
25,CHOWCHILLA,16891,9.4e8,Midway-Q2005 230kV Line,0.0,37.12070819,-120.250748,-0.0,0.0,
26,CHRISTIE,6034,4.17332e8,Windmaster-Delta pumps 230 kV line,0.0,38.00283333,-122.208258,0.0,0.0,
27,CLOVERDALE,1766,7.0e8,Birds Landing-Contra Costa 230kV Line,0.0,38.79712201,-123.0102504,0.0,0.0,
28,COBURN,0,0.0,Moss Landing-Las Aguilas 230 kV Line,0.0,36.26523967,-121.1458637,0.0,0.0,
29,COLORADO RIVER,5000,1.386722862e9,Devers-Red Bluff Constraint,0.0,33.58089849,-114.8171807,0.0,0.0,
30,CONTRA COSTA POWER,6034,4.17332e8,Windmaster-Delta pumps 230 kV line,0.0,38.01525795,-121.7622225,0.0,0.0,
31,CONTROL,186,3.29e8,Control to Inyokern area constraint,0.0,37.33594572,-118.4811481,0.0,0.0,
32,COOL WATER,1206,3.344775543e8,Kramer to Victor Area Constraint,0.0,34.86319776,-116.8541777,182.0,182.0,Solar: Daggett 2
33,CORCORAN,0,0.0,Moss Landing-Las Aguilas 230 kV Line,0.0,36.10943983,-119.5571964,0.0,0.0,
34,CORONA (PGE),861,0.0,Lakeville-Ignacio 230 kV line,0.0,38.26506019,-122.657312,0.0,0.0,
35,CORTINA,1766,7.0e8,Birds Landing-Contra Costa 230kV Line,0.0,39.12057489,-122.2234251,0.0,0.0,
36,COTTLE,2019,0.0,Panoche- Mendota 115 kV line,0.0,37.77265525,-120.8263678,2019.0,0.0,
37,CREELMAN,431,6.71054e8,Miguel 69 kV constraint,0.0,33.01805902,-116.8530307,0.0,0.0,
38,DAIRYLAND,358,1.25e8,Merced 115/70kV TB#2,0.0,37.05489655,-120.3167696,0.0,0.0,
39,DAVIS (PGE),109,9.329e6,Woodland- Davis 115kV line,0.0,38.54519129,-121.7341065,0.0,0.0,
40,DELEVAN,1766,7.0e8,Birds Landing-Contra Costa 230kV Line,0.0,39.36840805,-122.2693177,0.0,0.0,
41,DESERT VIEW,1285,3.563877756e8,GLW 230kV area constraint,0.0,36.304525,-115.533555,0.0,0.0,
42,DIABLO CANYON,4125,8.3e8,Diablo–Gates 500 kV line,0.0,35.2163749,-120.8472688,0.0,0.0,
43,DRUM,480,1.85e8,Bell-Placer 115kV Line,0.0,39.25675761,-120.7667838,0.0,0.0,
44,DUMBARTON,978,2.712429918e8,Dumbarton-Newark 115 kV line,0.0,37.55706823,-122.057873,0.0,0.0,
45,EAGLE ROCK (PGE),1766,7.0e8,Birds Landing-Contra Costa 230kV Line,0.0,38.82897905,-122.8100864,0.0,0.0,
46,EAST NICOLAUS,109,9.329e6,Woodland- Davis 115kV line,0.0,38.90973397,-121.5424835,0.0,0.0,
47,EASTSHORE,548,0.0,Eastshore-San Mateo 230 kV line,0.0,37.62511419,-122.1165693,0.0,0.0,
48,EAST COUNTY,2823,7.82943728e8,East of Miguel constraint,0.0,32.6272724,-116.1178761,0.0,0.0,
49,EDES,290,1.25e8,Grant - Eastshore #2 line 115 kV,0.0,37.73868387,-122.1938003,0.0,0.0,
50,EL CAJON,431,6.71054e8,Miguel 69 kV constraint,0.0,32.79525278,-116.9727194,0.0,0.0,
51,ELLIOTT,936,2.595945198e8,Internal San Diego Area constraint,0.0,32.8158917,-117.0884865,0.0,0.0,
52,ENCINA,746,2.06899051e8,Encina - San Luis Rey 230 kV constraint,0.0,33.13723028,-117.3354712,0.0,0.0,
53,ESCONDIDO,936,2.595945198e8,Internal San Diego Area constraint,0.0,33.125878,-117.1166659,0.0,0.0,
54,EXCELSIOR,0,0.0,Moss Landing-Las Aguilas 230 kV Line,0.0,36.427716,-120.386337,0.0,0.0,
55,EXCHEQUER,0,0.0,Moss Landing-Las Aguilas 230 kV Line,0.0,37.58422176,-120.2725809,0.0,0.0,
56,FAMOSO,637,7.6e8,Semitropic-Midway 115kV Line,0.0,35.60510349,-119.2035329,0.0,0.0,
57,FIG GARDEN,0,0.0,Moss Landing-Las Aguilas 230 kV Line,0.0,36.82182409,-119.8587935,0.0,0.0,
58,FULTON (PGE),1766,7.0e8,Birds Landing-Contra Costa 230kV Line,0.0,38.49766912,-122.7606937,0.0,0.0,
59,GAMEBIRD,1285,3.563877756e8,GLW 230kV area constraint,0.0,36.005575,-115.60564,0.0,0.0,
60,GATES,16891,9.4e8,Midway-Q2005 230kV Line,0.0,36.14232775,-120.1287522,275.0,275.0,"Solar: Sand Luis West; Solar: Fifth Standard Solar PV, LLC (Hybrid)"
61,GEYSERS 3,1766,7.0e8,Birds Landing-Contra Costa 230kV Line,0.0,38.80570019,-122.8149473,0.0,0.0,
62,GLENN (PGE),1766,7.0e8,Birds Landing-Contra Costa 230kV Line,0.0,39.77781273,-122.1427555,0.0,0.0,
63,GOLD HILL,707,1.25e8,Rocklin-Pleaseant grove 115kV line,0.0,38.65755743,-121.1368329,0.0,0.0,
64,GOLETA,2000,4.358e9,South of Magunden Constraint,0.0,34.46920287,-119.8844193,0.0,0.0,
65,GRANT,6034,4.17332e8,Windmaster-Delta pumps 230 kV line,0.0,37.6714782,-122.1596296,0.0,0.0,
66,GREGG,0,0.0,Moss Landing-Las Aguilas 230 kV Line,0.0,36.85330295,-119.9170035,0.0,0.0,
