emissions_cost,total_solar_capacity,total_wind_capacity,total_gas_capacity,total_batt_capacity,total_batt_storage,total_solar_gen,total_wind_gen,total_gas_gen,total_batt_charge,total_batt_discharge,total_emissions,total_curtailment,total_upgrade_costs,total_emissions_cost,total_curtailment_cost,total_objective
0.0,11610.5,842.8,1299.31,4386.0,14492.0,1.755804875309702e7,1.2712647780929394e6,5.895888617155576e6,1.5282087926065711e7,1.3142846022444066e7,1.1907336651207488e6,1.1170995733525786e6,1.1437164950400002e10,0.0,2.2341991467075784e7,2.504198587254977e14
10.0,11980.5,842.8,1299.31,4426.0,14652.0,1.897882843061955e7,1.6274780746003967e6,3.8307994254637593e6,1.4256091606153384e7,1.2260489186800782e7,773668.2519666394,1.5406310264627663e6,1.3602164950400002e10,7.736682519666394e6,3.0812620529237304e7,2.5042154394875575e14
25.0,11606.599999999999,842.8,1299.31,4386.0,14492.0,1.8814050674424686e7,1.629379179458368e6,3.8599425896022897e6,1.3779826884247748e7,1.1850901526486088e7,779554.0053960556,1.1113799113055454e6,1.1437164950400002e10,1.948885013490139e7,2.2227598226090223e7,2.5041985851602878e14
55.0,11610.5,842.8,1299.31,4386.0,14492.0,1.881604094633305e7,1.6293286929176096e6,3.8591335380539866e6,1.378385376366906e7,1.1854364642782947e7,779390.6093453608,1.1166309116855026e6,1.1437164950400002e10,4.286648351399484e7,2.2332618233740196e7,2.5041990169105153e14
100.0,11610.5,842.8,1299.31,4426.0,14652.0,1.887181557899289e7,1.6293382588926072e6,3.81384106200915e6,1.382121790831586e7,1.1886497807179186e7,770243.3408833444,1.0205559196942758e6,1.1437164950400002e10,7.702433408833444e7,2.041111839391268e7,2.5041993708129962e14
250.0,11606.599999999999,842.8,1299.31,4373.0,14440.0,1.890326798325076e7,1.629073793237076e6,3.739475648473258e6,1.3667450078021877e7,1.1754257473131835e7,755224.5019656394,1.1436470152915728e6,1.1437164950400002e10,1.8880612549140987e8,2.2872940305811234e7,2.5042002977303394e14
500.0,11606.599999999999,842.8,1299.31,4386.0,14492.0,1.893373200784192e7,1.62801406735481e6,3.7115015007795542e6,1.3672543271150062e7,1.1758637619222075e7,749574.8430974188,1.1087505851879532e6,1.1437164950400002e10,3.747874215487094e8,2.2175011703737922e7,2.504202181289972e14
1000.0,11611.4,842.8,1299.31,4761.0,15992.0,1.9447873178891197e7,1.628676137526777e6,3.245566658611861e6,1.3846578174855996e7,1.1908307636402452e7,655474.6423732348,420475.2428062078,1.1437164950400002e10,6.554746423732349e8,8.409504856093206e6,2.5042054959559928e14
5000.0,11997.5,842.8,1299.31,6255.0,21740.0,2.101355597785525e7,1.6110887335665661e6,1.701157204343822e6,1.3859704904320754e7,1.1919596623200893e7,343565.708989275,-3.839228490676305e-9,1.62328134702e10,1.717828544946375e9,7.717584139754763e-5,2.5042632950092934e14
10000.0,11894.0,842.8,1299.31,6548.0,22457.0,2.1045115380250443e7,1.609559325204904e6,1.5836067092757786e6,1.3548018369804267e7,1.1651546203661803e7,319825.21100533416,-3.769984861757758e-9,1.428727538141e10,3.1982521100533414e9,-1.8728528175415704e-5,2.504267313427859e14
