Name,Capacity,Path Cost,Bus Index,Bus Name,Cap Increase,Price,Constraint Name
"Northern Orchard Solar PV, LLC",150,17662650,87,LAKEVIEW,16891,940000000,Midway-Q2005 230kV Line
BCE Seal Beach,12,7994632,286,ALAMITOS,800,28000000,Hinson - Del Amo Constraint
Rosamond South 1,140,5861248.5,283,WHIRLWIND,1500,13200000,Antelope-Vincent Constraint
Luna Valley,200,16001663,109,MENDOTA,0,0,Moss Landing-Las Aguilas 230 kV Line
Bellefield Solar and Energy Storage Farm,500,21468924,210,WINDHUB,2500,612000000,Windhub Constraint
Pastoria Solar,105.2,4242198,143,PASTORIA,2000,100000000,Antelope-Neenach Constraint
Aratina Solar Center 1B,200,2751461.25,86,KRAMER,1206,334477554.3,Kramer to Victor Area Constraint
Solar Star 3,24,2801147.25,283,WHIRLWIND,1500,13200000,Antelope-Vincent Constraint
Grape,246.4,11649800,70,HENRIETTA,0,0,Moss Landing-Las Aguilas 230 kV Line
Angela Solar Project,40,11772523,1,ALPAUGH,16891,940000000,Midway-Q2005 230kV Line
"Windhub Solar B, LLC",20,3891138,210,WINDHUB,2500,612000000,Windhub Constraint
Cherry,249.7,14478914,70,HENRIETTA,0,0,Moss Landing-Las Aguilas 230 kV Line
"Desert Breeze Solar, LLC",125,6177135.5,167,SANDLOT,1206,334477554.3,Kramer to Victor Area Constraint
"Lockhart Solar PV IV, LLC",80,5143683.5,167,SANDLOT,1206,334477554.3,Kramer to Victor Area Constraint
Bellefield 2 Solar & Energy Storage Farm,500,22955270,210,WINDHUB,2500,612000000,Windhub Constraint
Aramis I Solar Project,100,1369904.5,21,CAYETANO,6034,417332000,Windmaster-Delta pumps 230 kV line
Easley Solar,290,3560835.25,157,RED BLUFF,5000,1386722862,Devers-Red Bluff Constraint
EDPR CA Solar Park VI LLC (CA) Hybrid,200,13652995,109,MENDOTA,0,0,Moss Landing-Las Aguilas 230 kV Line
JVR Energy Park LLC,90,7855551,48,EAST COUNTY,2823,782943728,East of Miguel constraint
